id,campaign_type,channel,topic,started_at,finished_at,total_count,ab_test,warmup_mode,hour_limit,subject_length,subject_with_personalization,subject_with_deadline,subject_with_emoji,subject_with_bonuses,subject_with_discount,subject_with_saleout,is_test,position
63,bulk,mobile_push,sale out,2021-04-30 07:22:36.615023+00:00,2021-04-30 07:23:41+00:00,48211,,False,,146.0,False,False,True,False,False,False,,
64,bulk,mobile_push,sale out,2021-04-30 09:02:50.817227+00:00,2021-04-30 09:04:08+00:00,1037337,,False,,97.0,False,False,True,False,False,False,,
78,bulk,mobile_push,sale out,2021-05-06 07:14:10.533318+00:00,2021-05-06 07:15:17+00:00,70080,,False,,146.0,False,False,True,False,False,False,,
79,bulk,mobile_push,sale out,2021-05-06 09:03:56.486750+00:00,2021-05-06 09:42:15+00:00,921838,,False,,97.0,False,False,True,False,False,False,,
89,bulk,mobile_push,,2021-05-07 11:54:06.168664+00:00,2021-05-07 11:54:38+00:00,45503,,False,,109.0,False,True,True,False,False,False,,
110,bulk,mobile_push,sale out,2021-05-12 07:38:32.980268+00:00,2021-05-12 07:40:16+00:00,90816,,False,,146.0,False,False,True,False,False,False,,
111,bulk,mobile_push,sale out,2021-05-12 07:44:41.865082+00:00,2021-05-12 08:16:07+00:00,1045217,,False,,97.0,False,False,True,False,False,False,,
129,bulk,email,sale out,2021-05-18 07:38:49.825780+00:00,2021-05-18 07:38:58+00:00,3,,False,,133.0,False,False,True,False,False,False,,
136,bulk,email,sale out,2021-05-19 07:00:11.121170+00:00,2021-05-19 08:03:19+00:00,177363,,False,,133.0,False,False,True,False,False,False,,
138,bulk,mobile_push,sale out,2021-05-19 07:00:11.105536+00:00,2021-05-19 07:21:42+00:00,37889,,False,,146.0,False,False,True,False,False,False,,
139,bulk,mobile_push,sale out,2021-05-19 07:00:11.117030+00:00,2021-05-19 07:34:51+00:00,72739,,False,,97.0,False,False,True,False,False,False,,
143,bulk,email,sale out,2021-05-20 08:00:16.293566+00:00,2021-05-20 08:57:18+00:00,283063,,False,,112.0,False,False,True,False,False,False,,
149,bulk,mobile_push,sale out,2021-05-20 13:00:09.995802+00:00,2021-05-20 13:00:43+00:00,47675,,False,,112.0,False,False,True,False,False,False,,
150,bulk,email,sale out,2021-05-21 07:00:11.471804+00:00,2021-05-21 09:39:41+00:00,781354,,False,,133.0,False,False,True,False,False,False,,
152,bulk,email,sale out,2021-05-24 07:48:42.153896+00:00,2021-05-24 08:43:38+00:00,274633,,False,,109.0,False,False,True,False,False,False,,
171,bulk,mobile_push,sale out,2021-05-21 15:54:40.621083+00:00,2021-05-21 15:56:28+00:00,154495,,False,,84.0,False,False,True,False,False,False,,
174,bulk,mobile_push,sale out,2021-05-23 07:00:11.659380+00:00,2021-05-23 07:01:27+00:00,86749,,False,,84.0,False,False,True,False,False,False,,
196,bulk,email,event,2021-05-26 10:30:08.482930+00:00,2021-05-26 10:31:11+00:00,6373,,False,,185.0,True,False,True,False,True,False,,
217,bulk,mobile_push,event,2021-05-26 10:30:08.501894+00:00,2021-05-26 10:30:14+00:00,1674,,False,,96.0,False,False,True,False,False,False,,
219,bulk,mobile_push,,2021-05-26 15:00:09.904258+00:00,2021-05-26 15:00:27+00:00,26418,,False,,117.0,False,False,True,False,False,False,,
230,bulk,email,sale out,2021-05-27 08:00:10.980791+00:00,2021-05-27 10:35:06+00:00,651859,,False,,115.0,False,False,True,False,False,False,,
231,bulk,mobile_push,sale out,2021-05-27 13:00:10.254783+00:00,2021-05-27 13:00:46+00:00,93204,,False,,32.0,False,False,True,False,False,False,,
257,bulk,mobile_push,sale out,2021-05-28 13:00:10.205631+00:00,2021-05-28 13:01:13+00:00,147911,,False,,164.0,False,False,True,False,False,False,,
258,bulk,mobile_push,sale out,2021-05-30 09:00:10.005651+00:00,2021-05-31 06:27:46+00:00,146355,,False,,164.0,False,False,True,False,False,False,,
289,bulk,email,sale out,2021-06-04 08:24:44.565692+00:00,2021-06-04 08:34:35+00:00,60332,,False,,93.0,False,False,True,False,False,False,,
296,bulk,email,sale out,2021-06-03 09:33:06.368487+00:00,2021-06-03 12:30:08+00:00,231972,,False,,129.0,False,False,True,False,False,True,,
297,bulk,email,sale out,2021-06-07 09:00:11.081690+00:00,2021-06-07 09:23:55+00:00,135106,,False,,109.0,False,False,True,False,False,False,,
298,bulk,mobile_push,sale out,2021-06-03 13:00:09.723824+00:00,2021-06-03 13:00:46+00:00,67174,,False,,38.0,False,False,True,False,False,False,,
308,bulk,mobile_push,sale out,2021-06-04 12:00:10.267618+00:00,2021-06-04 12:00:28+00:00,43152,,False,,34.0,False,False,True,False,False,False,,
321,bulk,email,sale out,2021-06-04 09:46:01.763109+00:00,2021-06-04 09:46:12+00:00,2,,False,,93.0,False,False,True,False,False,False,,
337,bulk,email,event,2021-06-09 10:30:08.275903+00:00,2021-06-09 10:30:51+00:00,6582,,False,,106.0,False,False,True,False,False,False,,
354,bulk,email,sale out,2021-06-16 08:00:11.969269+00:00,2021-06-16 08:08:48+00:00,50565,,False,,117.0,False,False,True,False,False,False,,
355,bulk,mobile_push,event,2021-06-09 10:45:07.874283+00:00,2021-06-09 10:45:13+00:00,1815,,False,,96.0,False,False,True,False,False,False,,
361,bulk,email,sale out,2021-06-11 08:00:12.203870+00:00,2021-06-11 08:10:22+00:00,59475,,False,,87.0,False,True,True,False,False,False,,
