campaign_id,total_sent,total_purchased,conversion_rate_pct,purchasers_with_friend_purchased,pct_of_purchasers_with_friend
26,9339,9339,100.0,220,2.36
27,57172,57172,100.0,5102,8.92
28,1406,1406,100.0,8,0.57
29,43612,43612,100.0,3244,7.44
31,901,901,100.0,6,0.67
32,51198,51198,100.0,4535,8.86
33,1402,1402,100.0,0,0.0
34,1,1,100.0,0,0.0
35,1,1,100.0,0,0.0
54,2266,2266,100.0,19,0.84
55,1991,1991,100.0,9,0.45
58,398,398,100.0,4,1.01
59,259,259,100.0,2,0.77
63,14394,14394,100.0,1762,12.24
64,310874,310874,100.0,258672,83.21
78,20933,20933,100.0,3454,16.5
79,276177,276177,100.0,223883,81.07
89,13550,13550,100.0,1535,11.33
105,236,236,100.0,2,0.85
110,27120,27120,100.0,5685,20.96
111,313449,313449,100.0,263073,83.93
122,1031,1031,100.0,2,0.19
123,48,48,100.0,0,0.0
136,53477,53477,100.0,17902,33.48
138,11364,11364,100.0,1029,9.05
139,21798,21798,100.0,3794,17.41
143,85294,85294,100.0,33577,39.37
149,14207,14207,100.0,1601,11.27
150,235721,235721,100.0,127790,54.21
152,82483,82483,100.0,36612,44.39
171,46155,46155,100.0,15050,32.61
174,26042,26042,100.0,5436,20.87
179,19635,19635,100.0,2955,15.05
196,1863,1863,100.0,28,1.5
217,503,503,100.0,2,0.4
219,7913,7913,100.0,526,6.65
221,50899,50899,100.0,15586,30.62
230,196521,196521,100.0,85936,43.73
231,27798,27798,100.0,5986,21.53
232,269,269,100.0,0,0.0
257,44282,44282,100.0,14027,31.68
258,43802,43802,100.0,13765,31.43
289,18258,18258,100.0,2541,13.92
296,69977,69977,100.0,24165,34.53
297,40794,40794,100.0,11571,28.36
298,20057,20057,100.0,3200,15.95
308,13172,13172,100.0,1379,10.47
337,1921,1921,100.0,28,1.46
355,544,544,100.0,4,0.74
358,8,8,100.0,0,0.0
360,5,5,100.0,0,0.0
361,17972,17972,100.0,2440,13.58
366,50019,50019,100.0,13122,26.23
368,4860,4860,100.0,216,4.44
372,7380,7380,100.0,505,6.84
373,656,656,100.0,2,0.3
374,1,1,100.0,0,0.0
381,1,1,100.0,0,0.0
18010,73109,73109,100.0,7621,10.42
18011,118644,118644,100.0,14183,11.95
18012,142404,142404,100.0,58438,41.04
18016,90593,90593,100.0,35703,39.41
18212,168592,168592,100.0,20593,12.21
18223,25197,25197,100.0,931,3.69
19017,27365,27365,100.0,1939,7.09
19867,20,20,100.0,0,0.0
